Dutch sentence	Translation
Ik ga naar school.	I go to school.
Ik werk elke dag.	I work every day.
Jullie komen met de fiets naar school.	You come to school by bike.
De kinderen fietsen naar school.	The children cycle to school.
Zij fietsen in het park.	They cycle in the park.
De kinderen gaan naar school met de fiets.	The children go to school by bike.
De kinderen reizen met de fiets.	The children travel by bike.
Zij gaan met de fiets naar de markt.	They cycle to the market.
De cursisten zijn in de klas.	The students are in the classroom.
De cursisten luisteren naar de leerkracht.	The students listen to the teacher.
De cursisten leren in de klas.	The students are learning in the classroom.
De kinderen luisteren naar de leerkracht.	The children listen to the teacher.
De kinderen kijken naar de leerkracht.	The children are watching the teacher.
De kinderen leren Nederlands.	The children are learning Dutch.
De cursisten werken in de klas.	The students are working in the classroom.
Zij leren Nederlands.	They are learning Dutch.
Ze/zij leest het boek.	She/he is reading the book.
Het meisje leest het boek in haar bed.	The girl is reading the book in her bed.
Mijn dochter leest een boek in bed.	My daughter is reading a book in bed.
Zij schrijft in het boek.	She is writing in the book.
Anna schrijft een brief.	Anna is writing a letter.
Het meisje heeft een appel.	The girl has an apple.
Het kind eet een appel.	The child is eating an apple.
Zij eet haar appel.	She is eating her apple.
Het kind eet een appel.	The child is eating an apple.
Ik eet een appel.	I am eating an apple.
De man kijkt naar de PC.	The man is looking at the computer.
De cursist drinkt een zwarte koffie en leest een artikel.	The student is drinking a black coffee and reading an article.
De man drinkt een koffie in een restaurant.	The man is drinking a coffee in a restaurant.
De man werkt met zijn laptop.	The man is working on his laptop.
De man is in zijn bureau.	The man is in his office.
De man schrijft een boek.	The man is writing a book.
De man leest zijn mails.	The man is reading his emails.
De man kijkt naar de PC.	The man is looking at the computer.
Jullie gaan te voet naar het werk.	You are walking to work.
De meisjes gaan naar de stad.	The girls are going to town.
Zij wandelen in het park.	They are walking in the park.
3 meisjes wandelen naar school.	Three girls are walking to school.
De meisjes spreken en wandelen in het bos.	The girls are talking and walking in the woods.
Het is mijn boek.	'It''s my book.'
Het is jouw kroon.	'It''s your crown.'
Het is zijn hound.	'It''s his dog.'
Het is haar kip.	'It''s her chicken.'
Het is ons boek.	'It''s our book.'
Het is onze boek.	'It''s our book.'
Het is jullie kroon.	'It''s your crown.'
Het is hun kat.	'It''s their cat.'
één	1
twee	2
drie	3
vier	4
vijf	5
zes	6
zeven	7
acht	8
negen	9
tien	10
elf	11
twaalf	12
dertien	13
veertien	14
vijftien	15
zestien	16
zeventien	17
achttien	18
negentien	19
twintig	20
tien	10
twintig	20
dertig	30
veertig	40
vijftig	50
zestig	60
zeventig	70
tachtig	80
negentig	90
honderd	100
